product_name,tags,url,strain
MED | DNVK 5 | Moonbow #7 | Bulk,,https://weedmaps.com/dispensaries/consume-cannabis-harrisville/menu/med-dnvk-5-moonbow-7-bulk,moonbow
REC | EPS | Moonbow #7 | Bulk,Flower; Hybrid,https://weedmaps.com/dispensaries/consume-cannabis-harrisville/menu/rec-eps-moonbow-7-flower-bulk,moonbow
(ADULT-USE) Pure Options | Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/pure-options-east-lansing/menu/adult-use-pure-options-moonbow,moonbow
Connected | Connected- Moonbow Preroll 1G,Flower; Indica,https://weedmaps.com/dispensaries/seaweed-sf-1/menu/connected-connected-moonbow-preroll-1g,moonbow
(REC) Moonbow 26.60% THC,Flower; Hybrid,https://weedmaps.com/dispensaries/pinnacle-emporium-3/menu/rec-moonbow-26-60-thc,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/house-of-dank-center-line-med/menu/moonbow-112-3-5g,moonbow
Connected | Connected || Moonbow 112 || 1.0g Preroll,Flower; Indica,https://weedmaps.com/dispensaries/high-times-oakland/menu/connected-connected-moonbow-112-1-0g-preroll,moonbow
MoonBow 112 - Indoor,,https://weedmaps.com/dispensaries/otc-dispensary-lounge/menu/moonbow-112-indoor,moonbow
(MED) Pro Gro | Moonbow #112 25.49% THC,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/pinnacle-emporium-2/menu/med-pro-gro-moonbow-112-25-49-thc,moonbow
ARCHIVE - 3.5G MOONBOW 112,,https://weedmaps.com/dispensaries/stiiizy-moreno-valley/menu/archive-3-5g-moonbow-112-56428c64-4e95-48b6-a529-7521176981bf,moonbow
(ADULT-USE) Pure Options | Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/pure-options-muskegon/menu/adult-use-pure-options-moonbow,moonbow
(MEDICAL) Pure Options | Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/pure-options-muskegon/menu/medical-pure-options-moonbow-112,moonbow
Pure Options Moonbow 1g,Flower; Indica,https://weedmaps.com/dispensaries/shango-bay-city/menu/pure-options-moonbow-1g,moonbow
Pure Options Moonbow 1/8,Flower; Indica,https://weedmaps.com/dispensaries/shango-bay-city/menu/pure-options-moonbow-1-8,moonbow
AU - Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/xplore/menu/au-moonbow-112,moonbow
ARCHIVE - 3.5G MOONBOW 112,,https://weedmaps.com/dispensaries/stiiizy-jurupa-valley/menu/archive-3-5g-moonbow-112,moonbow
Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/green-vitality-adult-use/menu/moonbow-112,moonbow
Alien Labs - Cannis Major x Moonbow - Live Resin Vape - 1g,Flower; Hybrid,https://weedmaps.com/dispensaries/cookies-hayward/menu/alien-labs-cannis-major-x-moonbow-live-resin-vape-1g,moonbow
Moonbow - Indoor,Flower; Hybrid,https://weedmaps.com/dispensaries/nug-sundial/menu/moonbow-indoor,moonbow
Outdoor - Archive - Eighth Ea - Moonbow 112,,https://weedmaps.com/dispensaries/valley-pure-lemoore/menu/outdoor-archive-eighth-ea-moonbow-112-0e3aa793-6e23-4512-9212-ff32da2f00e2,moonbow
ELITE EXOTICZ - MOONBOW,Flower; Hybrid,https://weedmaps.com/dispensaries/elite-wellness-jackson/menu/elite-exoticz-moonbow-a6c6980c-7e1a-4ac3-9e8f-ef843707b28a,moonbow
ELITE EXOTICZ - MOONBOW,Flower; Hybrid,https://weedmaps.com/dispensaries/elite-wellness-jackson/menu/elite-exoticz-moonbow-bee6cc0d-450f-4a6a-bea3-bea3a0ac1a45,moonbow
Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/hod-gratiot/menu/moonbow-112,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/hod-traverse-city/menu/moonbow-112-3-5g,moonbow
(MED) Pure Options | Moonbow 26.60% THC,Flower; Indica,https://weedmaps.com/dispensaries/pinnacle-emporium-addison/menu/med-pure-options-moonbow-26-60-thc,moonbow
Moonbow 8th - Pure Gro - 30.75%,Flower; Hybrid,https://weedmaps.com/dispensaries/herbana-1/menu/moonbow-8th-pure-gro-30-75,moonbow
Moonbow Gram - Pure Gro - 30.75%,Flower; Hybrid,https://weedmaps.com/dispensaries/herbana-1/menu/moonbow-gram-pure-gro-30-75,moonbow
Badder - Moonbow,Flower; Hybrid,https://weedmaps.com/dispensaries/catalyst-eastside/menu/badder-moonbow,moonbow
Alien Labs- Moonbow- 3.5g Indoor,Flower; Hybrid,https://weedmaps.com/dispensaries/cookies-la-mesa/menu/alien-labs-moonbow-3-5g-indoor,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/the-clinic-cannabis-company/menu/moonbow-112-3-5g,moonbow
Moonbow #112 (Pro Gro),Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/amazing-budz-1/menu/moonbow-112-pro-gro-7d548e1f-465c-46f7-89f9-117a0ec7ce0a,moonbow
Moonbow,Flower; Hybrid,https://weedmaps.com/dispensaries/herbology-cannabis-co-rec/menu/moonbow,moonbow
Moonbow - Pro Gro REC (REC),Flower; Hybrid,https://weedmaps.com/dispensaries/fire-creek-bay-city/menu/moonbow-pro-gro-rec-rec,moonbow
Alien Labs - Cannis Major x Moonbow - Live Resin Vape - 1g,Flower; Hybrid,https://weedmaps.com/dispensaries/cookies-modesto/menu/alien-labs-cannis-major-x-moonbow-live-resin-vape-1g,moonbow
Alien Labs- Moonbow- 3.5g Indoor,Flower; Hybrid,https://weedmaps.com/dispensaries/cookies-modesto/menu/alien-labs-moonbow-3-5g-indoor,moonbow
Moonbow 8th - Pure Gro - 30.21%,Flower; Hybrid,https://weedmaps.com/dispensaries/arbors-wellness/menu/moonbow-8th-pure-gro-30-21,moonbow
Moonbow - Gram - Pure Gro - 30.21%,Flower; Hybrid,https://weedmaps.com/dispensaries/arbors-wellness/menu/moonbow-gram-pure-gro-30-21,moonbow
ARCHIVE - 3.5G MOONBOW 112,,https://weedmaps.com/dispensaries/stiiizyalameda/menu/archive-3-5g-moonbow-112,moonbow
PRO GRO - MOONBOW #112 | FLOWER | 8TH | AU 3.5 GRAMS,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/the-refinery/menu/pro-gro-moonbow-112-flower-8th-au-3-5-grams,moonbow
Archive Moonbow Indoor 3.5g (ea),Flower; Hybrid,https://weedmaps.com/dispensaries/valley-pure-farmersville/menu/archive-moonbow-indoor-3-5g-ea,moonbow
Alien Labs - 510 live cart 1g - Sherbacio x Moonbow,,https://weedmaps.com/dispensaries/valley-pure-farmersville/menu/alien-labs-510-live-cart-1g-sherbacio-x-moonbow,moonbow
(AU) Moonbow #112 : 28.16% THC,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/med-leaf/menu/au-moonbow-112-28-16-thc,moonbow
Archive | Archive - Moonbow 112 3.5g,Flower; Hybrid,https://weedmaps.com/dispensaries/aloha-aina/menu/archive-archive-moonbow-112-3-5g,moonbow
Archive | Archive - Outdoor Moonbow 112 3.5g,Flower; Hybrid,https://weedmaps.com/dispensaries/aloha-aina/menu/archive-archive-outdoor-moonbow-112-3-5g,moonbow
Alien Labs - Moonbow - Preroll - (1g),Flower; Hybrid,https://weedmaps.com/dispensaries/aloha-aina/menu/archive-moonbow-112-1g-preroll,moonbow
Alien Labs Preroll Moonbow 1g,,https://weedmaps.com/dispensaries/blue-fire/menu/alien-labs-preroll-moonbow-1g,moonbow
