search term,strain_name,num_chars_search_term
freedom fighter,freedom fighter,15
forbidden fruit,forbidden fruit,15
free britney,freebritney,12
frankenstein,frankenstein,12
confidential,confidential,12
screwdriver,screwdriver,11
freebritney,freebritney,11
Clusterfunk,clusterfunk,11
Cake Batter,cake batter,11
slurricane,slurricane,10
motherland,motherland,10
granddaddy,granddaddy,10
girl scout,girl scout,10
CLEMENTINE,clementine,10
tarantula,tarantula,9
supernova,supernova,9
skywalker,skywalker,9
Professor,grofessor,9
pistachio,pistachio,9
ice cream,ice cream,9
grandaddy,granddaddy,9
crescendo,crescendo,9
Chocolope,chocolope,9
Chernobyl,chernobyl,9
champagne,champagne,9
Zkittlez,zkittlez,8
Zkittles,zkittlez,8
tropical,tropical,8
titanium,titanium,8
sherbert,sherbert,8
rockstar,rockstar,8
platinum,platinum,8
northern,northern,8
mountain,mountain,8
MERINGUE,meringue,8
MARACUJA,maracuja,8
klondike,klondike,8
insomnia,insomnia,8
horchata,horchata,8
guerilla,guerilla,8
gasoline,gasoline,8
do si do,do si dos,8
critical,critical,8
biscuits,biscuits,8
Biscotti,biscotti,8
bachelor,bachelor,8
wedding,wedding,7
thunder,thunder,7
slurbet,slurbet,7
slipper,slipper,7
sherbet,sherbet,7
scoobie,scoobie,7
rawberr,strawberry,7
rainbow,rainbow,7
moonbow,moonbow,7
monster,monster,7
miracle,miracle,7
martini,martini,7
kracken,kraken,7
jet lag,jetlag,7
iverson,iverson,7
gushers,gushers,7
gummies,gummies,7
gorilla,gorilla,7
gluuchi,gluuchi,7
glurple,glurple,7
genesis,genisis,7
gangsta,gangsta,7
escobar,escobar,7
diamond,diamond,7
crusher,crusher,7
cracker,craker,7
cookies,cookies,7
chemist,the chemist,7
chamber,chamber,7
blossum,blossum,7
berries,berries,7
bermuda,bermuda,7
baklava,baklava,7
apricot,apricot,7
zsweet,zsweet,6
zookie,zookies,6
wrench,wrench,6
wonder,wonder,6
vision,vision,6
velvet,velvet,6
trophy,trophy,6
tangie,tangie,6
surfer,surfer,6
sunset,sunset,6
sundae,sundae,6
snacks,snacks,6
si-dos,do si dos,6
si dos,do si dos,6
shower,shower,6
secret,secret,6
roller,roller,6
rocket,rocket,6
purple,purple,6
potato,potato,6
poison,poison,6
peanut,peanut,6
papaya,papaya,6
orange,orange,6
nectar,nectar,6
narnia,narnia,6
muffin,muffin,6
mother,mother,6
monkey,monkey,6
mojito,mojito,6
mimosa,mimosa,6
memory,memory,6
m.a.c.,m.a.c.,6
lights,lights,6
leeroy,leeroy,6
l.s.d.,lsd,6
kraken,kraken,6
jungle,jungle,6
jetlag,jetlag,6
jackie,jackie,6
helado,helado,6
hazard,hazard,6
hammer,hammer,6
grapes,grapes,6
golden,golden,6
genius,genius,6
Gelato,gelato,6
garlic,garlic,6
galaxy,galaxy,6
G.M.O.,gmo,6
family,family,6
Durban,durban,6
dragon,dragon,6
dosido,do si dos,6
dolato,dolato,6
diesel,diesel,6
cookie,cookies,6
citrus,citrus,6
churro,churro,6
cherry,cherry,6
cheese,cheese,6
charmz,charms,6
charms,charms,6
casava,casava,6
carbon,carbon,6
butter,butter,6
burger,burger,6
buddha,buddha,6
bubble,bubble,6
breath,breath,6
blanco,blanco,6
banner,banner,6
banana,banana,6
apollo,apollo,6
animal,animal,6
zweet,zweet,5
zoink,zoink,5
widow,widow,5
widow,widow,5
white,white,5
viper,viper,5
verde,verde,5
venom,venom,5
tutti,tutti,5
treat,treat,5
train,train,5
totem,totem,5
tonic,tonic,5
toast,toast,5
thotz,thotz,5
sweet,sweet,5
susan,susan,5
sugar,sugar,5
stone,stone,5
steel,steel,5
spell,spell,5
space,space,5
sonic,sonic,5
slurp,slurp,5
skunk,skunk,5
shade,shade,5
shack,shack,5
scien,scientist,5
sauce,sauce,5
samoa,samoa,5
runtz,runtz,5
royal,royal,5
robot,robot,5
queen,queen,5
punch,punch,5
penny,penny,5
pearl,pearl,5
peach,peach,5
party,party,5
Panda,panda,5
omega,omega,5
night,night,5
night,night,5
nasty,nasty,5
mouth,mouth,5
motor,motor,5
mintz,mintz,5
mints,mintz,5
Melon,melon,5
mango,mango,5
magic,magic,5
lucky,lucky,5
lemon,lemon,5
later,now n later,5
karma,karma,5
juice,juice,5
jelly,jelly,5
herer,herer,5
guice,guice,5
guava,guava,5
green,green,5
grape,grape,5
grace,grace,5
gooey,gooey,5
ghost,ghost,5
gello,gello,5
fuego,fuego,5
fruit,fruit,5
frost,frost,5
flush,flush,5
fetti,fetti,5
fatso,fatso,5
dutch,dutch,5
dream,dream,5
donut,donut,5
dirty,dirty,5
devil,devil,5
crush,crush,5
crunk,crunk,5
creme,creme,5
cream,cream,5
crash,crash,5
couch,couch,5
chili,chili,5
chapo,chapo,5
chaos,chaos,5
burro,burro,5
buddy,buddy,5
bubba,bubba,5
bruce,bruce,5
bride,bride,5
brain,brain,5
black,black,5
berry,berry,5
banjo,banjo,5
bacon,bacon,5
apple,apple,5
alien,alien,5
yoda,yoda,4
wife,wife,4
whip,whip,4
tree,tree,4
thai,thai,4
tart,tart,4
tape,tape,4
tang,tang,4
suzy,suzy,4
star,star,4
sour,sour,4
soul,soul,4
sofa,sofa,4
soap,soap,4
snow,snow,4
slow,slow,4
silk,silk,4
scou,scout,4
rude,rude,4
ruby,ruby,4
purp,purp,4
plum,plum,4
piss,piss,4
pink,pink,4
oreo,oreo,4
nite,night,4
neon,neon,4
moon,moon,4
mint,mint,4
milk,milk,4
maui,maui,4
loud,loud,4
lodi,lodi,4
lime,lime,4
lime,lime,4
lane,lane,4
kush,kush,4
king,king,4
jack,jack,4
head,head,4
haze,haze,4
gold,gold,4
goat,goat,4
glue,glue,4
girl,girl,4
funk,funk,4
fuel,fuel,4
foot,foot,4
food,food,4
fire,fire,4
ewok,ewok,4
duct,duct,4
dotz,dotz,4
deja,deja,4
dawg,dawg,4
czar,czar,4
cruz,cruz,4
cool,cool,4
chem,chem,4
cake,cake,4
boss,boss,4
bomb,bomb,4
boat,boat,4
blue,blue,4
bird,bird,4
bath,bath,4
baby,tit,4
azul,azul,4
afgh,afghan,4
acai,acai,4
zig,zig,3
zag,zag,3
web,web,3
tax,tax,3
sun,sun,3
rod,rod,3
red,red,3
pop,pop,3
pie,pie,3
mai,mai,3
mac,mac,3
mac,mac,3
lsd,lsd,3
kid,kid,3
kgb,kgb,3
jet,jet,3
ice,ice,3
hot,hot,3
gun,gun,3
god,god,3
gmo,gmo,3
GMO,gmo,3
gas,gas,3
eye,eye,3
bio,bio,3
atf,atf,3
ape,ape,3
og,og,2
j1,j1,2
c4,c4,2
ak-,ak,2
