name,ocpc,url,image_url,seed_company_name,seed_company_ocpc,genetics,genetics_cross_ocpc,l
Cotton Candy Bubblegum,9XVU79DW2X000000000000000,https://www.cannabisreports.com/strain-reports/purple-caper-seeds/cotton-candy-bubblegum,https://www.cannabisreports.com/images/strains/no_image.png,Purple Caper Seeds,PHE7M00000000000000000000,Cotton Candy / Bubblegum ???,ZHMH7VYQKJ000000000000000 / VRTEW9D296000000000000000 ???,22
Chocolate Dream Cheese,PHE7MHRYRP000000000000000,https://www.cannabisreports.com/strain-reports/purple-caper-seeds/chocolate-dream-cheese,https://www.cannabisreports.com/images/strains/no_image.png,Purple Caper Seeds,PHE7M00000000000000000000,Blue Dream x Chocolope Cheese,9XVU7PTG2P000000000000000 x PHE7M2XTG6000000000000000,22
Blouie (Louie Blue OG),9XVU7YGVTK000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/blouie-louie-blue-og,https://www.cannabisreports.com/images/strains/0/full_08f98cf7b3b04d1f1412778db512f46d56f8a4c4.jpg,Unknown Breeder,9XVU700000000000000000000,Louis XIII OG / Blue Dream,G3YM7ZAK6V000000000000000 / 9XVU7PTG2P000000000000000,22
Electric Watermelon OG,9XVU7ZHQPG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/electric-watermelon-og,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,OG Kush,9XVU7GD2AP000000000000000,22
Cherry Special Reserve,KWZ9MRUXRW000000000000000,https://www.cannabisreports.com/strain-reports/aficionado-seeds/cherry-special-reserve,https://www.cannabisreports.com/images/strains/a/full_a848daf399353883335730b9577e89ed76210e91.jpg,Aficionado Seeds,KWZ9M00000000000000000000,Cherry Pie S1 x Chem Dawg (Chemdog),KWZ9MNF7MP000000000000000 x 9XVU762EQ4000000000000000,22
Phantom of the Cookies,6WERQVLT3A000000000000000,https://www.cannabisreports.com/strain-reports/oregon-microgrowers-guild/phantom-of-the-cookies,https://www.cannabisreports.com/images/strains/no_image.png,Oregon Microgrowers Guild,6WERQ00000000000000000000,Phantom Cookies (Pink Champagne) x Girl Scout Cookies,TTM6QFMN9Y000000000000000 x 4KXM32V9YF000000000000000,22
Tutankhamon (King Tut),XNXU4TEVFH000000000000000,https://www.cannabisreports.com/strain-reports/pyramid-seeds/tutankhamon-king-tut,https://www.cannabisreports.com/images/strains/d/full_d72c686bb5562feaacd8140c6453208cf91d9170.jpg,Pyramid Seeds,XNXU400000000000000000000,AK-47,CYGU94JYKY000000000000000,22
Blue Cheese x Skunk #1,WAVLJY6ETM000000000000000,https://www.cannabisreports.com/strain-reports/barneys-farm-seeds/blue-cheese-x-skunk-1,https://www.cannabisreports.com/images/strains/no_image.png,Barney's Farm Seeds,WAVLJ00000000000000000000,Blue Cheese (Barney's Farm) x Skunk #1,WAVLJTP24K000000000000000 x VUJCJY6ZUC000000000000000,22
Cherry Pie x Harlequin,9XVU7AY7YG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/cherry-pie-x-harlequin,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Cherry Pie (Cherry Kush) x Harlequin,9XVU7ZCENQ000000000000000 x 9XVU7KL2ZR000000000000000,22
Apollo 11 Genuis Pheno,U9XW7KTC3M000000000000000,https://www.cannabisreports.com/strain-reports/bodhi-seeds/apollo-11-genuis-pheno,https://www.cannabisreports.com/images/strains/no_image.png,Bodhi Seeds,U9XW700000000000000000000,Apollo 11,HZU7PPKWNW000000000000000,22
Grape Krush x Skunk #1,MRRNP4PRW6000000000000000,https://www.cannabisreports.com/strain-reports/303-seeds/grape-krush-x-skunk-1,https://www.cannabisreports.com/images/strains/no_image.png,303 Seeds,MRRNP00000000000000000000,Grape Krush x Skunk #1 x Super Silver Sour Diesel Haze,W74AFWX9GZ000000000000000 x VUJCJY6ZUC000000000000000 x 9XVU7L46VE000000000000000,22
Abusive OG x Bogglegum,MRRNPLFEKE000000000000000,https://www.cannabisreports.com/strain-reports/303-seeds/abusive-og-x-bogglegum,https://www.cannabisreports.com/images/strains/no_image.png,303 Seeds,MRRNP00000000000000000000,Abusive OG x Bogglegum,9XVU7FDUD6000000000000000 x 3F64F6E2P4000000000000000,22
Passion Fruit Pancakes,9XVU7UMETG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/passion-fruit-pancakes,https://www.cannabisreports.com/images/strains/c/full_c4193ccf9e9335b825c5e91cd07d95bd9b7b7301.jpg,Unknown Breeder,9XVU700000000000000000000,Ambrosia x Super Lemon Haze,ZRGKM6VRFM000000000000000 x K3TYMTKC9M000000000000000,22
Interstellar Overdrive,U9XW7VTYW7000000000000000,https://www.cannabisreports.com/strain-reports/bodhi-seeds/interstellar-overdrive,https://www.cannabisreports.com/images/strains/4/full_4335678b5c38bfef3a454744fa0d569397c03d45.jpg,Bodhi Seeds,U9XW700000000000000000000,Satori,HFMW3NK7FZ000000000000000,22
Kushberry x Trainwreck,9XVU7QFTFV000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/kushberry-x-trainwreck,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Kushberry (Blueberry Kush) x Trainwreck,TTUYN23C79000000000000000 x 9XVU76K2ZH000000000000000,22
